documentId,лаборатория,иностранный,межкультурный,07,60,рубеж,партнеры,квалификация,студенческий,инженерный,технология,телефон,кружок,35,лекция,филология,локальный,секретарь,медицина,научный,связьрасписаниеучебно,день,близкий,работыпрактиканаучное,февраль,учащиеся,здравоохранение,02,проект,7,прискорбие,выпускникам,полезный,встреча,180,казанский,химический,физико,и,17,deutsche,300,университетский,образовательный,экология,отчёт,от,конференция,03,финансов,декабрь,м,студенты,univer,всероссийском,информационный,22,карта,цифра,педагогический,популяризатор,пользование,00,единство,по,абитуриенту,420008,зарубежный,приглашать,д,закупки,français,защита,процесс,шаблон,электронный,mail,интернат,кадр,информация,05,студентамшколам,ваш,на,приоритетный,целевой,слабовидящий,кончина,вычислительный,наследие,всех,институты,фирменный,карьер,233,язык,микроскопия,кафедра,отдел,ректор
0.txt,0.0009132420091324201,0.005479452054794521,0.0009132420091324201,0.0027397260273972603,0.0009132420091324201,0.0018264840182648401,0.0009132420091324201,0.0009132420091324201,0.0045662100456621,0.0009132420091324201,0.005479452054794521,0.0009132420091324201,0.0027397260273972603,0.0018264840182648401,0.0018264840182648401,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0045662100456621,0.0045662100456621,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0036529680365296802,0.0009132420091324201,0.0018264840182648401,0.0027397260273972603,0.0027397260273972603,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.005479452054794521,0.0009132420091324201,0.0009132420091324201,0.043835616438356165,0.0036529680365296802,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.006392694063926941,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0027397260273972603,0.0018264840182648401,0.0009132420091324201,0.0018264840182648401,0.0018264840182648401,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0018264840182648401,0.0027397260273972603,0.0018264840182648401,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0045662100456621,0.0009132420091324201,0.01004566210045662,0.0018264840182648401,0.0018264840182648401,0.0009132420091324201,0.0018264840182648401,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0018264840182648401,0.0018264840182648401,0.0009132420091324201,0.0009132420091324201,0.0018264840182648401,0.0009132420091324201,0.0009132420091324201,0.0018264840182648401,0.0045662100456621,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0018264840182648401,0.0009132420091324201
1.txt,0.0,0.008391608391608392,0.0013986013986013986,0.0,0.0013986013986013986,0.002797202797202797,0.0,0.002797202797202797,0.0013986013986013986,0.0013986013986013986,0.006993006993006993,0.0013986013986013986,0.0013986013986013986,0.0,0.0,0.0013986013986013986,0.0013986013986013986,0.0,0.006993006993006993,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.002797202797202797,0.0013986013986013986,0.002797202797202797,0.0013986013986013986,0.0,0.0013986013986013986,0.0013986013986013986,0.0,0.0,0.008391608391608392,0.0013986013986013986,0.0,0.044755244755244755,0.0,0.0013986013986013986,0.0,0.0013986013986013986,0.004195804195804196,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0,0.002797202797202797,0.0013986013986013986,0.002797202797202797,0.0013986013986013986,0.004195804195804196,0.0,0.0013986013986013986,0.0,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0,0.0,0.0,0.0013986013986013986,0.0013986013986013986,0.0,0.0,0.0013986013986013986,0.002797202797202797,0.002797202797202797,0.0013986013986013986,0.0013986013986013986,0.002797202797202797,0.0,0.0,0.002797202797202797,0.002797202797202797,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0,0.0013986013986013986,0.002797202797202797,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0013986013986013986,0.0,0.002797202797202797,0.0013986013986013986,0.002797202797202797,0.002797202797202797,0.0013986013986013986
10.txt,0.0,0.00966183574879227,0.001610305958132045,0.0,0.0,0.00322061191626409,0.0,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.008051529790660225,0.0,0.001610305958132045,0.0,0.0,0.001610305958132045,0.001610305958132045,0.0,0.008051529790660225,0.008051529790660225,0.0,0.0,0.0,0.0,0.0,0.0,0.00322061191626409,0.0,0.004830917874396135,0.0,0.0,0.001610305958132045,0.001610305958132045,0.0,0.0,0.008051529790660225,0.001610305958132045,0.0,0.05152979066022544,0.0,0.001610305958132045,0.0,0.001610305958132045,0.004830917874396135,0.001610305958132045,0.00322061191626409,0.00322061191626409,0.001610305958132045,0.0,0.001610305958132045,0.0,0.001610305958132045,0.00322061191626409,0.001610305958132045,0.0,0.00322061191626409,0.001610305958132045,0.004830917874396135,0.00322061191626409,0.001610305958132045,0.0,0.001610305958132045,0.0,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.0,0.0,0.0,0.00322061191626409,0.001610305958132045,0.0,0.0,0.001610305958132045,0.00322061191626409,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.00644122383252818,0.0,0.0,0.004830917874396135,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.0,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.0,0.001610305958132045,0.001610305958132045,0.001610305958132045,0.00322061191626409,0.001610305958132045
100.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018633540372670808,0.0,0.0,0.018633540372670808,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.018633540372670808,0.0,0.0,0.0,0.0,0.0,0.0,0.012422360248447204,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0
101.txt,0.0011202389843166542,0.0033607169529499626,0.0003734129947722181,0.0,0.0,0.0007468259895444362,0.0007468259895444362,0.0007468259895444362,0.0022404779686333084,0.0003734129947722181,0.0018670649738610904,0.0,0.0,0.0,0.0,0.0003734129947722181,0.0003734129947722181,0.0,0.0011202389843166542,0.005227781926811053,0.0,0.0003734129947722181,0.0,0.0,0.0,0.0,0.0,0.0007468259895444362,0.0033607169529499626,0.0,0.0,0.0003734129947722181,0.0011202389843166542,0.0003734129947722181,0.0,0.0018670649738610904,0.0007468259895444362,0.0,0.029499626587005227,0.0003734129947722181,0.0,0.0,0.0,0.004107542942494399,0.0007468259895444362,0.0003734129947722181,0.0,0.0018670649738610904,0.002987303958177745,0.0003734129947722181,0.0,0.0003734129947722181,0.0,0.0,0.0,0.0018670649738610904,0.0007468259895444362,0.0003734129947722181,0.0003734129947722181,0.0014936519790888724,0.0,0.0007468259895444362,0.0,0.0,0.005227781926811053,0.0003734129947722181,0.0003734129947722181,0.0003734129947722181,0.0,0.0,0.0003734129947722181,0.0003734129947722181,0.0003734129947722181,0.0003734129947722181,0.0,0.0003734129947722181,0.0,0.0007468259895444362,0.0014936519790888724,0.004107542942494399,0.0,0.0,0.0,0.005601194921583271,0.0003734129947722181,0.0003734129947722181,0.0,0.0,0.0003734129947722181,0.0003734129947722181,0.0,0.0003734129947722181,0.0,0.0003734129947722181,0.0003734129947722181,0.0007468259895444362,0.0,0.0003734129947722181,0.004107542942494399,0.0014936519790888724
102.txt,0.0,0.007168458781362007,0.0011947431302270011,0.0011947431302270011,0.0,0.0023894862604540022,0.0,0.0035842293906810036,0.0011947431302270011,0.0011947431302270011,0.009557945041816009,0.0,0.0011947431302270011,0.0,0.0,0.0011947431302270011,0.0011947431302270011,0.0,0.005973715651135006,0.007168458781362007,0.0,0.0,0.0,0.0,0.0,0.0,0.0023894862604540022,0.005973715651135006,0.0023894862604540022,0.0,0.0,0.0011947431302270011,0.0011947431302270011,0.0,0.0,0.007168458781362007,0.0023894862604540022,0.0,0.054958183990442055,0.0,0.0011947431302270011,0.0,0.0011947431302270011,0.0047789725209080045,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0023894862604540022,0.0,0.0011947431302270011,0.0,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0,0.0023894862604540022,0.0011947431302270011,0.0023894862604540022,0.0011947431302270011,0.0035842293906810036,0.0,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0023894862604540022,0.0011947431302270011,0.0011947431302270011,0.0,0.0,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0,0.0,0.0011947431302270011,0.0035842293906810036,0.0023894862604540022,0.0011947431302270011,0.0011947431302270011,0.0023894862604540022,0.0,0.0,0.0023894862604540022,0.0035842293906810036,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0,0.0011947431302270011,0.0011947431302270011,0.0023894862604540022,0.0023894862604540022,0.0011947431302270011
103.txt,0.0,0.006607929515418502,0.0007342143906020558,0.0,0.0,0.0014684287812041115,0.0,0.0007342143906020558,0.0014684287812041115,0.0007342143906020558,0.003671071953010279,0.0007342143906020558,0.0022026431718061676,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.003671071953010279,0.005873715124816446,0.0,0.0014684287812041115,0.0,0.0,0.002936857562408223,0.0,0.0014684287812041115,0.0022026431718061676,0.0014684287812041115,0.0,0.0,0.0007342143906020558,0.0007342143906020558,0.0014684287812041115,0.0,0.009544787077826725,0.0007342143906020558,0.0,0.038913362701908955,0.0014684287812041115,0.0007342143906020558,0.0,0.0007342143906020558,0.002936857562408223,0.0007342143906020558,0.0007342143906020558,0.0014684287812041115,0.0007342143906020558,0.0014684287812041115,0.0007342143906020558,0.0,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.0,0.0014684287812041115,0.0022026431718061676,0.0022026431718061676,0.0007342143906020558,0.0014684287812041115,0.0,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.005873715124816446,0.0007342143906020558,0.0014684287812041115,0.0,0.0007342143906020558,0.0014684287812041115,0.0007342143906020558,0.0007342143906020558,0.0,0.0007342143906020558,0.0007342143906020558,0.0014684287812041115,0.0014684287812041115,0.0007342143906020558,0.0007342143906020558,0.0014684287812041115,0.0022026431718061676,0.0,0.0022026431718061676,0.006607929515418502,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.0,0.0007342143906020558,0.0014684287812041115,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.0007342143906020558,0.0,0.005873715124816446,0.0007342143906020558,0.0007342143906020558,0.0022026431718061676,0.0007342143906020558
104.txt,0.0,0.015281757402101241,0.0009551098376313276,0.0019102196752626551,0.0,0.0038204393505253103,0.0,0.0009551098376313276,0.008595988538681949,0.0009551098376313276,0.004775549188156638,0.0,0.0028653295128939827,0.0,0.0,0.0009551098376313276,0.0009551098376313276,0.0,0.004775549188156638,0.008595988538681949,0.0,0.0,0.0,0.0,0.0038204393505253103,0.0,0.0019102196752626551,0.0028653295128939827,0.0038204393505253103,0.0,0.0,0.0009551098376313276,0.0009551098376313276,0.0,0.0,0.008595988538681949,0.0009551098376313276,0.0,0.034383954154727794,0.0,0.0009551098376313276,0.0,0.0009551098376313276,0.0038204393505253103,0.0009551098376313276,0.0009551098376313276,0.0019102196752626551,0.0028653295128939827,0.0038204393505253103,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0,0.0019102196752626551,0.004775549188156638,0.0019102196752626551,0.0009551098376313276,0.0009551098376313276,0.0,0.0009551098376313276,0.0,0.0009551098376313276,0.0028653295128939827,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0,0.0,0.0009551098376313276,0.0009551098376313276,0.0,0.0,0.0019102196752626551,0.0028653295128939827,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0028653295128939827,0.0009551098376313276,0.0,0.0019102196752626551,0.004775549188156638,0.0019102196752626551,0.0009551098376313276,0.0009551098376313276,0.0,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0019102196752626551,0.0009551098376313276
105.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.txt,0.0,0.004842615012106538,0.0008071025020177562,0.0,0.0,0.0016142050040355124,0.0,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.004035512510088781,0.0,0.0008071025020177562,0.0,0.0,0.0008071025020177562,0.0008071025020177562,0.0,0.004035512510088781,0.004035512510088781,0.0,0.0,0.0,0.0,0.0,0.0,0.0016142050040355124,0.0,0.0016142050040355124,0.0008071025020177562,0.0,0.0008071025020177562,0.0008071025020177562,0.0,0.0,0.004035512510088781,0.0008071025020177562,0.0,0.043583535108958835,0.0008071025020177562,0.0008071025020177562,0.0,0.0008071025020177562,0.004842615012106538,0.0008071025020177562,0.0008071025020177562,0.00887812752219532,0.0008071025020177562,0.004035512510088781,0.0016142050040355124,0.0,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.0,0.0016142050040355124,0.0008071025020177562,0.0016142050040355124,0.0008071025020177562,0.0008071025020177562,0.0,0.0008071025020177562,0.0,0.0008071025020177562,0.007263922518159807,0.0008071025020177562,0.0016142050040355124,0.0,0.0,0.003228410008071025,0.0008071025020177562,0.0008071025020177562,0.0,0.0,0.0008071025020177562,0.0016142050040355124,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.0016142050040355124,0.0,0.0,0.0016142050040355124,0.00645682001614205,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.0,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.0008071025020177562,0.0,0.0008071025020177562,0.0008071025020177562,0.002421307506053269,0.00645682001614205,0.0008071025020177562
